date,World
12/19/2022,4348309
12/20/2022,5615989
12/21/2022,6463292
12/22/2022,6947424
12/23/2022,7946896
12/24/2022,6830630
12/25/2022,6113178
12/26/2022,4918380
12/27/2022,4882143
12/28/2022,4892013
12/29/2022,3799217
12/30/2022,3765620
12/31/2022,2849178
1/1/2023,2542010
1/2/2023,1840711
1/3/2023,1513126
1/4/2023,1691511
1/5/2023,1549686
1/6/2023,1882934
1/7/2023,1309455
1/8/2023,1113354
1/9/2023,904613
1/10/2023,627819
1/11/2023,844387
1/12/2023,666075
1/13/2023,1042690
1/14/2023,531079
1/15/2023,443524
1/16/2023,400338
1/17/2023,256143
1/18/2023,408359
1/19/2023,343202
1/20/2023,597407
1/21/2023,299622
1/22/2023,242460
1/23/2023,192747
1/24/2023,124645
1/25/2023,223147
1/26/2023,211647
1/27/2023,478321
1/28/2023,187363
1/29/2023,164071
1/30/2023,148176
1/31/2023,110226
2/1/2023,199526
2/2/2023,183147
2/3/2023,445154
2/4/2023,177268
2/5/2023,134776
2/6/2023,115369
2/7/2023,105518
2/8/2023,176527
2/9/2023,155139
2/10/2023,426056
2/11/2023,142467
2/12/2023,133843
2/13/2023,93366
2/14/2023,97881
2/15/2023,198489
2/16/2023,132267
2/17/2023,379318
2/18/2023,118053
2/19/2023,144045
2/20/2023,102993
2/21/2023,93476
2/22/2023,127888
2/23/2023,123304
2/24/2023,117062
2/25/2023,364792
2/26/2023,85974
2/27/2023,94183
2/28/2023,69886
